RUN	restfulapi.RestfulApiTest	restfulapitest	1721767247633	 	3.11.3
USER	Restful API Test	START	1721767254208
REQUEST		Post object	1721767253221	1721767254248	OK	 
REQUEST		Get object	1721767254090	1721767254376	OK	 
USER	Restful API Test	END	1721767254377
USER	Restful API Test	START	1721767254377
REQUEST		Put object	1721767254249	1721767254574	OK	 
REQUEST		Post object	1721767253563	1721767254578	OK	 
REQUEST		Post object	1721767254209	1721767254581	OK	 
REQUEST		Put object	1721767253693	1721767254653	OK	 
REQUEST		Get object	1721767253724	1721767254655	OK	 
USER	Restful API Test	END	1721767254656
USER	Restful API Test	START	1721767254656
REQUEST		Post object	1721767254378	1721767254705	OK	 
REQUEST		Post object	1721767253727	1721767254710	OK	 
REQUEST		Get object	1721767254575	1721767254857	OK	 
USER	Restful API Test	END	1721767254858
REQUEST		Put object	1721767254580	1721767254912	OK	 
REQUEST		Put object	1721767254583	1721767254913	OK	 
REQUEST		Get object	1721767254654	1721767254921	OK	 
USER	Restful API Test	END	1721767254922
REQUEST		Put object	1721767254712	1721767255028	OK	 
REQUEST		Put object	1721767254707	1721767255036	OK	 
REQUEST		Get object	1721767254130	1721767255106	OK	 
USER	Restful API Test	END	1721767255107
REQUEST		Post object	1721767254092	1721767255107	OK	 
REQUEST		Post object	1721767254087	1721767255116	OK	 
REQUEST		Get object	1721767254913	1721767255191	OK	 
USER	Restful API Test	END	1721767255192
REQUEST		Get object	1721767255028	1721767255312	OK	 
USER	Restful API Test	END	1721767255313
REQUEST		Get object	1721767255036	1721767255316	OK	 
USER	Restful API Test	END	1721767255316
REQUEST		Put object	1721767255109	1721767255444	OK	 
REQUEST		Put object	1721767255117	1721767255454	OK	 
REQUEST		Get object	1721767255454	1721767255724	OK	 
REQUEST		Post object	1721767254657	1721767255725	OK	 
USER	Restful API Test	END	1721767255725
REQUEST		Get object	1721767255444	1721767255728	OK	 
USER	Restful API Test	END	1721767255729
REQUEST		Get object	1721767254912	1721767255825	OK	 
USER	Restful API Test	END	1721767255826
REQUEST		Put object	1721767255727	1721767256711	OK	 
REQUEST		Get object	1721767256712	1721767257009	OK	 
USER	Restful API Test	END	1721767257011
